chengshi,yijiquyu,xiaoqumingcheng,xiaoqujunjia,jiagezoushi,quyushangquan,xiangxidizhi,jianzhuleixing,wuyefeiyong,chanquanleibie,rongjilv,zonghushu,lvhualv,jianzhuniandai,tingchewei,kaifashang,wuyegongsi,zaizushu,zaishoushu,community_url,bd_lon,bd_lat,wgs_lon,wgs_lat,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,min_time_gaoxiao,count_gaoxiao,min_time_yiyuan,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,min_time_xiuxian,count_xiuxian,gcj_lon,gcj_lat,amaplonlat
宜昌,夷陵,宏佳杰座,4307,25.276,夷陵 虾子沟,宜保路,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,21,0,//yichang.ganji.com/xiaoqu/hongjiajiezuo/,111.3912396587665,30.85978079605659,111.37883481188759,30.855884494254866,280,1241,0,560,1,10000,0,10000,0,913,0,10000,0,275,1,111.38475210013274,30.853686392248424,"111.38475210013274,30.853686392248424"
宜昌,东山,梅香苑,7133,2.452,东山 南苑,港窑路25-19-310号,小高层,0.40元/平米/月,商品房住宅,2.80,暂无数据,暂无数据,2004年,暂无数据,无,无,87,8,//yichang.ganji.com/xiaoqu/meixiangyuanxhZX/,111.32539539200447,30.696504645349936,111.3131211090977,30.693079875812217,177,750,1,845,1,1152,0,1661,0,211,5,623,5,10000,0,111.318864097845,30.690693376322947,"111.318864097845,30.690693376322947"
宜昌,西陵,36克拉公寓,7947,-4.026,西陵 步行街,东山村路5号,多层,1.50元/平米/月,商品房住宅,1.10,184户,暂无数据,2007年,两栋多层周围地上停车位,宜昌六合置业有限公司,宜昌市英伦管家物业管理有限公司,7,2,//yichang.ganji.com/xiaoqu/36kelagongyu/,111.31639288589548,30.704484433691377,111.30411185129186,30.701178637178963,607,495,1,1361,0,792,1,1982,0,705,1,626,11,2492,0,111.30983028027937,30.698779358301852,"111.30983028027937,30.698779358301852"
宜昌,东山,502地矿所,7393,-0.536,东山 南苑,港窑路37号,多层|小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2001年,暂无数据,暂无数据,基地物业,134,5,//yichang.ganji.com/xiaoqu/502dikuangsuo/,111.3267247943287,30.69828056178456,111.3144519039762,30.69483256113018,403,758,1,1072,0,1162,0,10000,0,438,2,633,2,10000,0,111.32019884081427,30.692449404499783,"111.32019884081427,30.692449404499783"
宜昌,东山,600米公寓,9112,1.866,东山 南苑,港窑路27号,高层,0.50元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,无,宜昌市昌华强物业公司,43,20,//yichang.ganji.com/xiaoqu/600migongyu/,111.32526199363625,30.697288735622852,111.31298744828436,30.69386578288356,252,676,1,920,0,1078,0,1736,0,286,5,549,6,10000,0,111.31873012480374,30.691479401064043,"111.31873012480374,30.691479401064043"
宜昌,秭归,紫宸阳光,6564,14.482,秭归 平湖大道,天问路20号,小高层,0元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,1,0,//yichang.ganji.com/xiaoqu/zichenyangguang/,110.97781601730084,30.842434933436973,110.96604955878551,30.838889136309565,408,1315,0,1273,0,10000,0,10000,0,2008,0,1244,0,10000,0,110.97132596293201,30.836413005389367,"110.97132596293201,30.836413005389367"
宜昌,当阳,中央锦城,6631,-2.386,长坂路 当阳城区,南正街,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3,5,//yichang.ganji.com/xiaoqu/zhongyangjinchengXjmY/,111.46338437088383,30.397972600734903,111.45105100550077,30.394290510132738,150,61,4,452,2,10000,0,522,2,430,7,395,8,575,3,111.45689733671944,30.391849431682278,"111.45689733671944,30.391849431682278"
宜昌,东山,612小区,8292,-1.402,东山 东山花园,城东大道17号,多层|小高层,1.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1996年,暂无数据,国营第六一二厂,宜昌合田物业有限责任公司,232,25,//yichang.ganji.com/xiaoqu/612xiaoqu/,111.3235964453902,30.71373622396224,111.31131103306313,30.710329932327376,379,852,2,712,1,1586,0,385,1,344,3,6,5,620,1,111.31705037920965,30.707948258293865,"111.31705037920965,30.707948258293865"
宜昌,西陵,710生活小区,7661,-12.732,西陵 云集路,体育场路,多层|高层,0元/平米/月,商品房住宅,暂无数据,暂无数据,暂无数据,1989年,配有地上停车位,暂无数据,暂无数据,48,13,//yichang.ganji.com/xiaoqu/710shenghuoxiaoqu/,111.32654198915742,30.696297830764014,111.31426916448851,30.69285392418171,56,846,1,723,1,1137,0,1566,0,116,5,554,5,10000,0,111.32001540732948,30.690469489486304,"111.32001540732948,30.690469489486304"
宜昌,西陵,715小区,7936,-1.006,西陵 CBD,绿萝路,小高层,0.20元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2001年,暂无数据,暂无数据,暂无数据,66,23,//yichang.ganji.com/xiaoqu/715xiaoqu/,111.30870307901807,30.713470844179817,111.2964247452363,30.710214016865535,104,917,0,340,4,687,2,688,2,316,3,80,5,1001,0,111.30212332840135,30.70780577613818,"111.30212332840135,30.70780577613818"
宜昌,伍家岗,A8城市公寓,7905,4.047,伍家岗 伍家岗周边,八一路6号,高层,1.20元/平米/月,商品房住宅,0.00,344户,暂无数据,2011年,地上27个，地下68个,宜昌市金峡房地产开发有限公司,A8城市公寓物业服务处,40,70,//yichang.ganji.com/xiaoqu/A8chengshigongyu/,111.37015247590307,30.648200904326774,111.35786772485594,30.64419719950082,210,1024,0,949,0,10000,0,280,3,696,1,381,3,903,0,111.36372724560464,30.641868644680518,"111.36372724560464,30.641868644680518"
宜昌,西陵,AAA花园,9993,-7.741,西陵 步行街,东山大道,多层|小高层|高层,0.00元/平米/月,商品房住宅,2.80,426户,暂无数据,2007年,700个,宏峰公司,康佳物业有限公司,139,20,//yichang.ganji.com/xiaoqu/AAAhuayuan/,111.32738914245674,30.68029182979853,111.31511274840149,30.676839044342845,74,593,2,581,1,10000,0,10000,0,649,2,286,3,1952,0,111.32086000882336,30.674448785279143,"111.32086000882336,30.674448785279143"
宜昌,西陵,CAZ天寓,8334,0.286,西陵 东门,体育场北路171号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,73,5,//yichang.ganji.com/xiaoqu/CAZtianyu/,111.30818941804608,30.712353730649312,111.29591313764332,30.709099442513406,194,827,1,239,3,596,2,792,1,229,2,75,9,890,1,111.30161029175063,30.706689815375665,"111.30161029175063,30.706689815375665"
宜昌,宜都,中医院宿舍,3318,-0.187,宜都市区 长江大道,团结路,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3,0,//yichang.ganji.com/xiaoqu/zhongyiyuansusheA25F/,111.76888343244754,30.42923540505255,111.75655191663024,30.425991465975905,127,482,2,517,2,10000,0,0,1,921,0,715,4,653,2,111.76233156730046,30.42343877322991,"111.76233156730046,30.42343877322991"
宜昌,五峰,CBD商务中心,14327,3.298,西陵 CBD,夷陵大道56、58号,高层,1.30元/平米/月,商品房住宅,4.50,暂无数据,暂无数据,2008年,暂无数据,宜昌新恒基投资开发有限公司,宜昌新恒基投资中心商务区物业管理有限公司,313,692,//yichang.ganji.com/xiaoqu/CBDshangwuzhongxin/,111.29603831878563,30.712645049609268,111.2838045893345,30.709361370019863,410,815,2,427,3,1298,0,813,1,238,9,134,17,146,3,111.28947208622705,30.706933492717223,"111.28947208622705,30.706933492717223"
宜昌,西陵,CBD数码城,12500,0.0,西陵 CBD,西陵二路,高层,0.00元/平米/月,商品房住宅,6.50,暂无数据,20%,2015年,暂无数据,宜昌市恒福置业投资有限公司,湖北冠博物业管理有限公司,124,270,//yichang.ganji.com/xiaoqu/CBDshumacheng/,111.29396673644908,30.713996945879025,111.28174211967678,30.710694586306186,211,545,3,474,3,10000,0,833,1,377,7,603,10,654,6,111.28740508173601,30.708264589914165,"111.28740508173601,30.708264589914165"
宜昌,当阳,艾家巷住宅区,3920,12.017,当阳 长坂路,长坂坡228号,多层,0.30元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,艾家巷住宅区居民委员会,艾家巷住宅区业主委员会,4,0,//yichang.ganji.com/xiaoqu/aijiaxiangzhuzhaiqu/,111.8150015390243,30.82085260564499,111.80276350055756,30.81733442415122,563,285,1,1099,0,10000,0,10000,0,473,2,161,1,10000,0,111.80851295542783,30.814884039229742,"111.80851295542783,30.814884039229742"
宜昌,长阳,安居家苑,3093,0.767,长阳 龙舟大道,龙舟大道217号,多层|高层,0元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2008年,暂无数据,暂无数据,暂无数据,1,0,//yichang.ganji.com/xiaoqu/anjujiayuaniFe1/,111.18939274626877,30.481446026955187,111.17718946643726,30.478248705676883,10000,932,0,1612,0,10000,0,10000,0,862,1,547,3,10000,0,111.18280692195748,30.47577700555707,"111.18280692195748,30.47577700555707"
宜昌,西陵,安居小区,8734,-0.31,西陵 步行街,西陵二路,多层|小高层,0.65元/平米/月,商品房住宅,1.50,暂无数据,暂无数据,1998年,配有地上停车位,宜昌城投房地产开发有限公司,暂无数据,91,34,//yichang.ganji.com/xiaoqu/anjuxiaoqu9126/,111.30684331712075,30.716643555160232,111.29456622762319,30.713389662197883,64,1158,0,631,3,973,0,328,2,643,5,418,7,1021,0,111.30026027135447,30.71097990527339,"111.30026027135447,30.71097990527339"
宜昌,当阳,安顺小区,4102,0.0,当阳 长坂路,玉阳路164号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,9,0,//yichang.ganji.com/xiaoqu/anshunxiaoquvJ47/,111.81228236824558,30.826483729224332,111.80002302575811,30.823004295432742,108,758,2,1026,0,10000,0,683,1,551,3,321,7,1172,0,111.80577856328264,30.820561734549123,"111.80577856328264,30.820561734549123"
宜昌,远安,安泰大道24号小区,5081,-10.757,远安 鸣凤大道,安泰大道24号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,14,0,//yichang.ganji.com/xiaoqu/antaidadao24haoxiaoqu/,111.65876621605564,31.05672388521411,111.64652320749498,31.05342657135715,282,585,1,281,1,10000,0,709,1,1058,0,739,2,10000,0,111.65219985193626,31.051037107495578,"111.65219985193626,31.051037107495578"
宜昌,远安,安泰建材家居广场,0,0.0,远安 鸣凤大道,安泰大道,小高层|高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,1,0,//yichang.ganji.com/xiaoqu/antaijiancaijiajuguangchangXd1U/,111.65829780213335,31.055874240228658,111.6460568346728,31.05257490674913,397,700,1,396,1,10000,0,824,1,1173,0,724,1,10000,0,111.65173237952615,31.050184136102377,"111.65173237952615,31.050184136102377"
宜昌,远安,安泰建材小区,0,0.0,远安 鸣凤大道,安泰大道,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3,0,//yichang.ganji.com/xiaoqu/antaijiancaixiaoqu/,111.65829780213335,31.055874240228658,111.6460568346728,31.05257490674913,397,700,1,396,1,10000,0,824,1,1173,0,724,1,10000,0,111.65173237952615,31.050184136102377,"111.65173237952615,31.050184136102377"
宜昌,远安,安泰小区,5356,0.0,远安 鸣凤大道,园林街18号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2,0,//yichang.ganji.com/xiaoqu/antaixiaoqu4236/,111.63912670492272,31.07013596042734,111.62698916716381,31.066598487230017,379,694,3,275,1,10000,0,1174,0,1029,0,486,3,386,1,111.63262815486083,31.064185834067118,"111.63262815486083,31.064185834067118"
宜昌,夷陵,安旺花园,5915,2.156,夷陵 神仙湾,夷兴大道23号,多层|小高层,1.50元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2005年,配有地上停车位,宜昌安华置业有限责任公司,宜昌安华置业有限责任公司,74,5,//yichang.ganji.com/xiaoqu/anwanghuayuan/,111.3182277225098,30.771521680853255,111.30590982000231,30.768153432333264,165,1076,0,532,2,10000,0,125,2,279,4,413,4,10000,0,111.31163903319766,30.765790947501415,"111.31163903319766,30.765790947501415"
宜昌,西陵,安旺九龙城,0,0.0,西陵 白龙岗,青岛路,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,4,0,//yichang.ganji.com/xiaoqu/anwangjiulongcheng/,111.33028028214736,30.694367548405285,111.31801324403246,30.690857933128125,102,1371,0,1070,0,1415,0,10000,0,612,4,172,3,10000,0,111.32377003742272,30.688479694104334,"111.32377003742272,30.688479694104334"
宜昌,西陵,安欣花园,8773,0.424,西陵 CBD,土城路2号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,宜昌合田物业管理有限公司,143,20,//yichang.ganji.com/xiaoqu/anxinhuayuanSXK8/,111.31262903341887,30.718102892298845,111.30033999099312,30.71482125504924,370,1016,0,437,1,343,2,696,1,862,1,735,5,1584,0,111.30604934717901,30.71242190057032,"111.30604934717901,30.71242190057032"
宜昌,远安,奥锦花园,6500,1.563,点军 江南路,点军大道,小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,7,32,//yichang.ganji.com/xiaoqu/aojinhuayuan/,111.23835704402335,30.709103886388732,111.22635741584057,30.705256863870645,538,1257,0,1210,0,10000,0,10000,0,10000,0,3228,0,10000,0,111.23195582328783,30.702804181967746,"111.23195582328783,30.702804181967746"
宜昌,当阳,奥林雅苑小区,5422,-1.829,长坂路 当阳城区,环城南路,多层|高层,1.20元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,6,0,//yichang.ganji.com/xiaoqu/aolinyayuanxiaoqu058R/,111.78749093278122,30.815582622570886,111.77512142688018,30.81233593776872,767,10000,0,10000,0,10000,0,10000,0,421,1,10000,0,10000,0,111.78091790432198,30.809922827236456,"111.78091790432198,30.809922827236456"
宜昌,枝江,奥美花园,5922,0.175,枝江 迎宾大道,江汉大道46号,高层,1.20元/平米/月,商品房住宅,3.00,暂无数据,暂无数据,2014年,暂无数据,宜昌楚苑房地产开发有限责任公司,宜昌华苑物业管理有限责任公司,102,0,//yichang.ganji.com/xiaoqu/aomeihuayuan/,111.7516487225942,30.42791273608544,111.73939169896695,30.42437987521039,180,348,1,560,1,389,1,1201,0,193,3,907,0,867,1,111.74517358612788,30.42182902020072,"111.74517358612788,30.42182902020072"
宜昌,枝江,奥美时代广场,0,0.0,枝江 迎宾大道,七星大道,多层|小高层|高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,4,0,//yichang.ganji.com/xiaoqu/aomeishidaiguangchangbX36/,111.75297722661291,30.44598432284538,111.74072693009705,30.442473941636347,365,974,0,882,1,10000,0,10000,0,10000,0,56,1,10000,0,111.74651067904617,30.439927387402758,"111.74651067904617,30.439927387402758"
宜昌,西陵,澳世花园,10486,-0.738,西陵 云集路,果园一路4号,小高层,0.45元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2001年,配有地上停车位,暂无数据,暂无数据,12,7,//yichang.ganji.com/xiaoqu/aoshihuayuan/,111.30223006917427,30.70357372415869,111.28997668042003,30.700327477662793,72,633,3,769,2,220,3,904,0,337,11,393,15,613,1,111.29565805185447,30.697904206446303,"111.29565805185447,30.697904206446303"
宜昌,西陵,八零九生活小区,0,0.0,西陵 白龙岗,港窑路,多层|小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3,3,//yichang.ganji.com/xiaoqu/balingjiushenghuoxiaoqu/,111.32654198915742,30.696297830764014,111.31426916448851,30.69285392418171,56,846,1,723,1,1137,0,1566,0,116,5,554,5,10000,0,111.32001540732948,30.690469489486304,"111.32001540732948,30.690469489486304"
宜昌,伍家岗,八一桂花苑,7613,0.0,伍家岗 北山坡,夷陵大道383号,多层|小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3,9,//yichang.ganji.com/xiaoqu/bayiguihuayuan/,111.35785799720185,30.651390849907056,111.34559737308722,30.64743324102988,139,505,3,787,1,10000,0,164,2,303,3,652,3,126,1,111.3514273271469,30.645086740149246,"111.3514273271469,30.645086740149246"
宜昌,西陵,八一路1号小区,0,0.0,西陵 CBD,八一路1号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,12,0,//yichang.ganji.com/xiaoqu/bayilu1haoxiaoqu/,111.29254921035434,30.697446484492378,111.28034139617245,30.694140175559816,69,437,3,337,2,1639,0,578,1,61,13,61,10,838,1,111.28599985191957,30.691700466222986,"111.28599985191957,30.691700466222986"
宜昌,当阳,坝陵村农民公寓,2491,0.0,当阳 长坂路,翼德路15号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,18,0,//yichang.ganji.com/xiaoqu/balingcunnongmingongyu/,111.82216112376936,30.845375079257305,111.80995245268939,30.841726901408055,848,850,2,393,1,879,1,10000,0,799,2,10000,0,980,0,111.81568877847785,30.839277271107797,"111.81568877847785,30.839277271107797"
