chengshi,yijiquyu,fangzu,mianji,huxing,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
宜昌,伍家岗,8500,480㎡,6室3厅4卫,南,精装修,共3层,327,583,1,1274,0,0,0,414,3,477,2,1
宜昌,伍家岗,1600,90㎡,3室2厅1卫,南北,精装修,低层/共6层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,2000,100㎡,4室2厅2卫,南,精装修,高层/共6层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1600,70㎡,2室1厅1卫,南,简单装修,高层/共11层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1400,120㎡,3室2厅1卫,南,简单装修,低层/共7层,178,1773,0,1614,0,0,1,798,1,1223,0,0
宜昌,伍家岗,1300,85㎡,3室1厅1卫,南北,精装修,中层/共30层,448,1509,0,1812,0,0,0,829,1,2131,0,0
宜昌,伍家岗,2000,130㎡,4室2厅2卫,东南,精装修,中层/共32层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,2000,116㎡,3室2厅2卫,南,简单装修,低层/共6层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,1600,95㎡,2室2厅1卫,南北,精装修,高层/共12层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,10000,339㎡,1室1厅1卫,南北,精装修,共3层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,600,25㎡,1室0厅1卫,南,精装修,高层/共9层,272,535,2,311,1,0,0,783,3,228,3,0
宜昌,伍家岗,900,35㎡,1室1厅1卫,南北,精装修,中层/共32层,448,1509,0,1812,0,0,0,829,1,2131,0,0
宜昌,伍家岗,2100,97㎡,3室2厅1卫,南,精装修,低层/共32层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,2200,95㎡,3室2厅1卫,南北,精装修,中层/共22层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,1500,70㎡,2室1厅1卫,南,豪华装修,中层/共6层,478,1131,0,1317,0,0,1,476,2,742,1,0
宜昌,伍家岗,1600,83㎡,2室2厅1卫,南,精装修,高层/共6层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,2600,120㎡,4室2厅2卫,南北,精装修,中层/共30层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,1300,56㎡,2室1厅1卫,南北,精装修,低层/共8层,478,1131,0,1317,0,0,1,476,2,742,1,0
宜昌,伍家岗,2000,100㎡,3室2厅1卫,南,精装修,高层/共30层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,8500,480㎡,6室3厅4卫,南,精装修,共3层,327,583,1,1274,0,0,0,414,3,477,2,1
宜昌,伍家岗,1200,70㎡,2室2厅1卫,南北,精装修,低层/共7层,111,765,1,1354,0,0,0,237,3,211,3,1
宜昌,伍家岗,1500,78㎡,2室2厅1卫,南,精装修,中层/共6层,213,451,1,640,1,0,0,226,2,347,4,0
宜昌,伍家岗,3000,143㎡,5室2厅2卫,南北,精装修,高层/共7层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,1600,91㎡,3室2厅1卫,南北,精装修,中层/共6层,478,1131,0,1317,0,0,1,476,2,742,1,0
宜昌,伍家岗,1000,55㎡,1室1厅1卫,南北,精装修,高层/共6层,178,1773,0,1614,0,0,1,798,1,1223,0,0
宜昌,伍家岗,2600,150㎡,3室2厅1卫,南北,精装修,低层/共8层,318,1374,0,1424,0,0,1,560,1,985,0,0
宜昌,伍家岗,1500,40㎡,1室1厅1卫,南北,精装修,共3层,15,839,1,844,1,0,3,528,3,528,3,0
宜昌,伍家岗,2100,95㎡,3室2厅1卫,南北,精装修,低层/共28层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,2800,150㎡,3室2厅2卫,南,精装修,共1层,318,1374,0,1424,0,0,1,560,1,985,0,0
宜昌,伍家岗,1200,75㎡,2室2厅1卫,南,精装修,中层/共6层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,1800,90㎡,2室2厅2卫,南北,暂无信息,中层/共6层,178,1773,0,1614,0,0,1,798,1,1223,0,0
宜昌,伍家岗,1600,108㎡,3室2厅2卫,南,精装修,低层/共7层,478,1131,0,1317,0,0,1,476,2,742,1,0
宜昌,伍家岗,2000,120㎡,3室2厅2卫,南北,简单装修,中层/共30层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,1600,90㎡,2室2厅1卫,南北,精装修,高层/共19层,327,1152,0,1183,0,0,1,343,2,763,1,0
宜昌,伍家岗,1500,40㎡,1室1厅1卫,南北,精装修,中层/共6层,15,839,1,844,1,0,3,528,3,528,3,0
宜昌,伍家岗,2000,98㎡,3室2厅2卫,东南,精装修,中层/共11层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,2100,108㎡,3室2厅1卫,南,精装修,低层/共30层,653,1863,0,416,1,0,0,714,2,807,2,0
