zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
8500,2,480,6,3,4,2,3,1,327,583,1,1274,0,0,0,414,3,477,2,1
1600,2,90,3,2,1,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
2000,2,100,4,2,2,2,3,3,760,1393,0,1772,0,0,1,909,0,1004,0,0
1600,2,70,2,1,1,2,2,3,760,1393,0,1772,0,0,1,909,0,1004,0,0
1400,2,120,3,2,1,2,2,1,178,1773,0,1614,0,0,1,798,1,1223,0,0
1300,2,85,3,1,1,2,3,2,448,1509,0,1812,0,0,0,829,1,2131,0,0
2000,2,130,4,2,2,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
2000,2,116,3,2,2,2,2,1,207,664,1,849,1,0,1,274,3,274,3,0
1600,2,95,2,2,1,2,3,3,760,1393,0,1772,0,0,1,909,0,1004,0,0
10000,2,339,1,1,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
600,2,25,1,0,1,2,3,3,272,535,2,311,1,0,0,783,3,228,3,0
900,2,35,1,1,1,2,3,2,448,1509,0,1812,0,0,0,829,1,2131,0,0
2100,2,97,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
2200,2,95,3,2,1,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
1500,2,70,2,1,1,2,4,2,478,1131,0,1317,0,0,1,476,2,742,1,0
1600,2,83,2,2,1,2,3,3,207,664,1,849,1,0,1,274,3,274,3,0
2600,2,120,4,2,2,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
1300,2,56,2,1,1,2,3,1,478,1131,0,1317,0,0,1,476,2,742,1,0
2000,2,100,3,2,1,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
8500,2,480,6,3,4,2,3,1,327,583,1,1274,0,0,0,414,3,477,2,1
1200,2,70,2,2,1,2,3,1,111,765,1,1354,0,0,0,237,3,211,3,1
1500,2,78,2,2,1,2,3,2,213,451,1,640,1,0,0,226,2,347,4,0
3000,2,143,5,2,2,2,3,3,207,664,1,849,1,0,1,274,3,274,3,0
1600,2,91,3,2,1,2,3,2,478,1131,0,1317,0,0,1,476,2,742,1,0
1000,2,55,1,1,1,2,3,3,178,1773,0,1614,0,0,1,798,1,1223,0,0
2600,2,150,3,2,1,2,3,1,318,1374,0,1424,0,0,1,560,1,985,0,0
1500,2,40,1,1,1,2,3,1,15,839,1,844,1,0,3,528,3,528,3,0
2100,2,95,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
2800,2,150,3,2,2,2,3,1,318,1374,0,1424,0,0,1,560,1,985,0,0
1200,2,75,2,2,1,2,3,2,207,664,1,849,1,0,1,274,3,274,3,0
1800,2,90,2,2,2,2,1,2,178,1773,0,1614,0,0,1,798,1,1223,0,0
1600,2,108,3,2,2,2,3,1,478,1131,0,1317,0,0,1,476,2,742,1,0
2000,2,120,3,2,2,2,2,2,653,1863,0,416,1,0,0,714,2,807,2,0
1600,2,90,2,2,1,2,3,3,327,1152,0,1183,0,0,1,343,2,763,1,0
1500,2,40,1,1,1,2,3,2,15,839,1,844,1,0,3,528,3,528,3,0
2000,2,98,3,2,2,2,3,2,760,1393,0,1772,0,0,1,909,0,1004,0,0
2100,2,108,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
2100,2,110,3,2,1,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
8500,2,480,6,3,4,2,3,1,327,583,1,1274,0,0,0,414,3,477,2,1
1600,2,84,2,2,1,2,2,2,448,1509,0,1812,0,0,0,829,1,2131,0,0
2200,2,150,6,2,2,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
1600,2,70,2,2,1,2,3,3,213,451,1,640,1,0,0,226,2,347,4,0
1600,2,90,3,2,1,2,2,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
1600,2,70,2,1,1,2,3,2,213,451,1,640,1,0,0,226,2,347,4,0
1400,2,75,2,2,1,2,2,3,207,664,1,849,1,0,1,274,3,274,3,0
1400,2,80,2,2,1,2,2,2,111,765,1,1354,0,0,0,237,3,211,3,1
1600,2,70,2,1,1,2,2,3,760,1393,0,1772,0,0,1,909,0,1004,0,0
1500,2,70,3,2,2,2,3,3,760,1393,0,1772,0,0,1,909,0,1004,0,0
1600,2,86,2,2,1,2,3,2,478,1131,0,1317,0,0,1,476,2,742,1,0
2000,2,110,3,2,1,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
2000,2,105,3,2,1,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
2500,2,115,3,2,2,2,3,2,213,451,1,640,1,0,0,226,2,347,4,0
2500,2,120,3,2,2,1,3,2,178,1773,0,1614,0,0,1,798,1,1223,0,0
