chengshi,yijiquyu,fangzu,mianji,huxing,chaoxiang,zhuangxiu,louceng,xiaoqumingcheng,bd_lat,bd_lon,wgs_lat,wgs_lon,gcj_lon,gcj_lat,amaplonlat
宜昌,伍家岗,8500,480㎡,6室3厅4卫,南,精装修,共3层,明日家园,30.68051688405874,111.33846322191923,30.67685527301817,111.32620684874925,111.33198594962606,30.67448627198352,"111.33198594962606,30.67448627198352"
宜昌,伍家岗,1600,90㎡,3室2厅1卫,南北,精装修,低层/共6层,民益家园,30.676252237417607,111.34258168319082,30.6725135006197,111.33032988412947,111.33612035060827,30.670150381846017,"111.33612035060827,30.670150381846017"
宜昌,伍家岗,2000,100㎡,4室2厅2卫,南,精装修,高层/共6层,民益家园,30.676252237417607,111.34258168319082,30.6725135006197,111.33032988412947,111.33612035060827,30.670150381846017,"111.33612035060827,30.670150381846017"
宜昌,伍家岗,1600,70㎡,2室1厅1卫,南,简单装修,高层/共11层,民益家园,30.676252237417607,111.34258168319082,30.6725135006197,111.33032988412947,111.33612035060827,30.670150381846017,"111.33612035060827,30.670150381846017"
宜昌,伍家岗,1400,120㎡,3室2厅1卫,南,简单装修,低层/共7层,益馨苑,30.672176795896064,111.34500216738746,30.66839506347839,111.33275097351785,111.3385479110663,30.666034652103797,"111.3385479110663,30.666034652103797"
宜昌,伍家岗,1300,85㎡,3室1厅1卫,南北,精装修,中层/共30层,上合园,30.674757551124575,111.34771379239987,30.6709290543844,111.33546854856482,111.34127329807428,30.668574855289798,"111.34127329807428,30.668574855289798"
宜昌,伍家岗,2000,130㎡,4室2厅2卫,东南,精装修,中层/共32层,城中金谷(公寓住宅),30.66964007898782,111.34594062715372,30.66584241939426,111.33368857957184,111.33948792262726,30.663482618517296,"111.33948792262726,30.663482618517296"
宜昌,伍家岗,2000,116㎡,3室2厅2卫,南,简单装修,低层/共6层,丰泽东方城,30.67205247371909,111.33662133630156,30.668428381177108,111.32435487062035,111.33012792956661,30.66605200697162,"111.33012792956661,30.66605200697162"
宜昌,伍家岗,1600,95㎡,2室2厅1卫,南北,精装修,高层/共12层,民益家园,30.676252237417607,111.34258168319082,30.6725135006197,111.33032988412947,111.33612035060827,30.670150381846017,"111.33612035060827,30.670150381846017"
宜昌,伍家岗,10000,339㎡,1室1厅1卫,南北,精装修,共3层,城中金谷(公寓住宅),30.66964007898782,111.34594062715372,30.66584241939426,111.33368857957184,111.33948792262726,30.663482618517296,"111.33948792262726,30.663482618517296"
宜昌,伍家岗,600,25㎡,1室0厅1卫,南,精装修,高层/共9层,教苑阁,30.6767944621165,111.32879377157927,30.673317625374743,111.31651699664368,111.32226797088946,30.67092843507443,"111.32226797088946,30.67092843507443"
宜昌,伍家岗,900,35㎡,1室1厅1卫,南北,精装修,中层/共32层,上合园,30.674757551124575,111.34771379239987,30.6709290543844,111.33546854856482,111.34127329807428,30.668574855289798,"111.34127329807428,30.668574855289798"
宜昌,伍家岗,2100,97㎡,3室2厅1卫,南,精装修,低层/共32层,城中金谷(公寓住宅),30.66964007898782,111.34594062715372,30.66584241939426,111.33368857957184,111.33948792262726,30.663482618517296,"111.33948792262726,30.663482618517296"
