zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
65,1,137,3,2,2,2,3,2,331,1418,0,1105,0,0,1,482,2,364,3,0
50,1,109,3,2,2,2,1,2,264,584,1,861,1,0,1,1004,0,1318,0,0
62,1,133,4,2,2,2,1,1,113,291,1,663,1,0,0,886,1,275,3,0
65,1,125,3,2,2,2,1,1,124,282,7,346,2,0,1,316,7,34,11,3
70,1,116,4,2,2,2,3,1,113,291,1,663,1,0,0,886,1,275,3,0
15,1,40,1,1,1,2,3,3,230,873,1,1311,0,0,1,405,2,197,10,0
42,1,90,2,1,1,2,3,3,597,1066,0,795,1,0,0,1317,0,585,2,0
50,1,90,4,2,2,2,3,1,251,475,3,587,1,0,0,794,1,444,6,3
29,1,78,2,2,1,1,2,2,102,1233,0,772,1,0,1,253,6,224,5,0
55,1,91,2,2,1,2,3,2,264,584,1,861,1,0,1,1004,0,1318,0,0
43,1,128,3,2,2,1,2,2,256,599,2,932,0,0,1,920,0,181,2,0
60,1,112,3,2,2,2,2,2,212,312,4,512,1,0,1,320,9,87,15,3
23,1,80,3,2,1,2,3,1,251,475,3,587,1,0,0,794,1,444,6,3
70,1,121,4,2,2,2,3,3,681,915,0,1381,0,0,0,905,0,1317,0,0
56,1,120,3,2,2,2,2,2,230,873,1,1311,0,0,1,405,2,197,10,0
40,1,92,3,1,1,2,3,1,6,341,3,516,2,0,1,641,3,187,8,3
42,1,112,3,2,1,2,3,2,422,778,2,834,1,0,0,1097,0,410,6,0
43,1,105,4,2,1,2,3,2,89,217,4,401,2,0,2,377,6,384,8,3
40,1,104,3,2,1,2,2,2,102,1233,0,772,1,0,1,253,6,224,5,0
58,1,183,6,3,3,2,3,1,158,197,2,684,1,0,1,188,8,0,16,3
30,1,80,2,1,1,2,2,3,6,264,4,213,2,0,2,302,7,219,16,3
58,1,92,2,2,1,2,3,1,256,599,2,932,0,0,1,920,0,181,2,0
58,1,183,6,3,3,2,3,1,158,197,2,684,1,0,1,188,8,0,16,3
57,1,117,3,2,2,2,1,3,113,291,1,663,1,0,0,886,1,275,3,0
23,1,60,2,2,1,2,3,1,89,217,4,401,2,0,2,377,6,384,8,3
50,1,93,2,2,1,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
50,1,97,2,2,1,2,3,2,256,599,2,932,0,0,1,920,0,181,2,0
125,1,249,6,3,3,2,2,1,249,1045,0,1198,0,0,1,613,1,270,5,0
115,1,120,3,2,2,2,3,1,681,915,0,1381,0,0,0,905,0,1317,0,0
45,1,84,2,2,1,2,3,1,681,915,0,1381,0,0,0,905,0,1317,0,0
50,1,120,4,2,2,2,1,3,300,814,1,498,1,0,0,926,0,592,6,3
57,1,117,3,2,2,2,1,3,113,291,1,663,1,0,0,886,1,275,3,0
26,1,87,2,1,1,2,2,3,124,366,4,349,1,0,1,627,3,348,7,3
50,1,90,2,2,1,2,3,3,113,291,1,663,1,0,0,886,1,275,3,0
40,1,108,3,2,1,2,3,1,597,1066,0,795,1,0,0,1317,0,585,2,0
